rating,date,variation,verified_reviews,feedback,cleaned_reviews,sentiment_score,sentiment_label,label
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,1,love my echo,0.6369,Positive,1
5,31-Jul-18,Charcoal Fabric ,Loved it!,1,loved it,0.5994,Positive,1
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",1,sometimes while playing a game you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,-0.128,Negative,0
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,i have had a lot of fun with this thing my  yr old learns about dinosaurs i control the lights and play games like categories has nice sound when playing music as well,0.9169,Positive,1
5,31-Jul-18,Charcoal Fabric ,Music,1,music,0.0,Neutral,2
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,i received the echo as a gift i needed another bluetooth or something to play music easily accessible and found this smart speaker cant wait to see what else it can do,0.8697,Positive,1
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",1,without having a cellphone i cannot use many of her features i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf you can hear her alarm in the bedroom from out in the living room so that is reason enough to keep herit is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,0.7096,Positive,1
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,i think this is the th one ive purchased im working on getting one in every room of my house i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,0.5563,Positive,1
5,30-Jul-18,Heather Gray Fabric ,looks great,1,looks great,0.6249,Positive,1
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,love it ive listened to songs i havent heard since childhood i get the news weather information its great,0.8519,Positive,1
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,i sent it to my  year old dad and he talks to it constantly,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,i love it learning knew things with it eveyday still figuring out how everything works but so far its been easy to use and understand she does make me laugh at times,0.9072,Positive,1
5,30-Jul-18,Oak Finish ,"I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!",1,i purchased this for my mother who is having knee problems now to give her something to do while trying to over come not getting around so fast like she didshe enjoys all the little and big things it can doalexa play this song what time is it and where and how to cook this and that,0.6983,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Love, Love, Love!!",1,love love love,0.9274,Positive,1
5,30-Jul-18,Oak Finish ,Just what I expected....,1,just what i expected,0.0,Neutral,2
5,30-Jul-18,Heather Gray Fabric ,"I love it, wife hates it.",1,i love it wife hates it,0.3182,Positive,1
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,1,really happy with this purchase  great speaker and easy to set up,0.8999,Positive,1
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1,we have only been using alexa for a couple of days and are having a lot of fun with our new toy it like having a new household member we are trying to learn all the different featues and benefits that come with it,0.8126,Positive,1
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1,we love the size of the nd generation echo still needs a little improvement on sound,0.785,Positive,1
4,30-Jul-18,Sandstone Fabric ,"I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)",1,i liked the original echo this is the same but shorter and with greater fabriccolor choices i miss the volume ring on top now its just the plusminus buttons not a big deal but the ring w as comforting  other than that well i do like the use of a standard usb charger port instead of the previous round pin other than that i guess it sounds the same seems to work the same still answers to alexaechocomputer so whats not to like ,0.9167,Positive,1
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1,love the echo and how good the music sounds playing off it alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify she is good with amazon music but is lacking in other major programs,0.765,Positive,1
5,30-Jul-18,Charcoal Fabric ,"We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.",1,we love alexa we use her to play music play radio through itunes play podcasts through anypod and set reminders we listen to our flash briefing of news and weather every morning we rely on our custom lists we like being able to voice control the volume were sure well continue to find new usessometimes its a bit frustrating when alexa doesnt understand what were saying,0.9246,Positive,1
4,30-Jul-18,Heather Gray Fabric ,"Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.",1,have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and its not intrusive to look at,0.8779,Positive,1
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1,i love it it plays my sleep sounds immediately when i ask,0.7351,Positive,1
3,30-Jul-18,Sandstone Fabric ,"I got a second unit for the bedroom, I was expecting the sounds to be improved but I didnt really see a difference at all.  Overall, not a big improvement over the 1st generation.",1,i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all  overall not a big improvement over the st generation,-0.2892,Negative,0
5,30-Jul-18,Sandstone Fabric ,Amazing product,1,amazing product,0.5859,Positive,1
5,30-Jul-18,Charcoal Fabric ,"I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.",1,i love my echo its easy to operate loads of funit is everything as advertised i use it mainly to play my favorite tunes and test alexas knowledge,0.91,Positive,1
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1,sounds great love them,0.8519,Positive,1
4,30-Jul-18,Charcoal Fabric ,"Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.",1,fun item to play with and get used to using  sometimes has hard time answering the questions you ask but i think it will be better,0.7579,Positive,1
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1,just like the other one,0.3612,Positive,1
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1,still learning all the capabilitiesbut so far pretty pretty pretty good,0.9192,Positive,1
4,30-Jul-18,Charcoal Fabric ,I like it,1,i like it,0.3612,Positive,1
5,30-Jul-18,Sandstone Fabric ,"She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great",1,she works well needs a learning command  for unique owners and users like alexa learn tashas birthday  or alexa learn my definition of fine etc other than that she is great,0.8591,Positive,1
3,30-Jul-18,Heather Gray Fabric ,The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,1,the speakers sound pretty good for being so small and setup is pretty easy  i bought two and the reason i only rate it a  is i have followed the instructions for synching music to both units  i know ive done it correctly but they wont sync  that was my primary motivation for purchasing multiple units,0.8481,Positive,1
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1,this device is awesome,0.6249,Positive,1
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,i bought this to compare the speaker quality to our first generation speaker and i like the sound better  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,0.8689,Positive,1
5,30-Jul-18,Sandstone Fabric ,"Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.",1,love my echo still learning all the things it will do wasnt able to follow instructions included in the package but found a great one on utube,0.85,Positive,1
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,speaker is better than st generation echo,0.4404,Positive,1
5,30-Jul-18,Charcoal Fabric ,"This thing is way cool!  You should get one.  If you want to be cool, that is.",1,this thing is way cool  you should get one  if you want to be cool that is,0.5994,Positive,1
5,30-Jul-18,Heather Gray Fabric ,"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",1,this is my first digital assistant so im giving this a good review speaker is really good for the cheap price on prime day fun to play with and can be used as an alarm clock thats what i was going to get in the first place but i ended up with echo if you havent had a go with one then definitely try itwhat i like best is the number of other devices that it can connect with my purchase came with a smart plug for  which i connect my lamp to alexa turn of the lights,0.974,Positive,1
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1,my husband likes being able to use it to listen to music  i wish we knew all its capabilities,0.6705,Positive,1
5,30-Jul-18,Charcoal Fabric ,"My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.",1,my android would not allow alexa to connect fortunately my sister was here with her apple cell after an hour tech support fixed the glitches we are up and running,0.2579,Positive,1
4,30-Jul-18,Charcoal Fabric ,So far so good,1,so far so good,0.6213,Positive,1
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1,tried to play certain broadway shows like camelot and it gives ne the group camelot,0.7184,Positive,1
5,30-Jul-18,Sandstone Fabric ,Great,1,great,0.6249,Positive,1
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1,very satisfied with the echo alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa,0.4754,Positive,1
2,30-Jul-18,Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0,its like siri in fact siri answers more accurately then alexa  i dont see a real need for it in my household though it was a good bargain on prime day deals,0.7351,Positive,1
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,love my echo still learning how every thing works but having tons of fun,0.7935,Positive,1
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1,i love you so much,0.6369,Positive,1
3,30-Jul-18,Charcoal Fabric ,No different than Apple. To play a specific list of music you must have an Amazon of Spotify “plus/prime/etc” account.  So you must pay to play “your” music.  3 stars for that reason.  Everything else is 👍🏻 .,1,no different than apple to play a specific list of music you must have an amazon of spotify plusprimeetc account  so you must pay to play your music   stars for that reason  everything else is  ,0.3892,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Excelente, lo unico es que no esta en español.",1,excelente lo unico es que no esta en espaol,-0.296,Negative,0
5,30-Jul-18,Charcoal Fabric ,"I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.",1,im still learning how to use it but so far my echo is great the sound is actually much better than i was expecting,0.8885,Positive,1
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1,works as youd expect and then some also good sound quality considering price  on sale and features,0.4404,Positive,1
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1,the sound from this echo nd generation is phenomenal  not to mention that i just love alexa  she is very helpful,0.807,Positive,1
3,30-Jul-18,Sandstone Fabric ,like google better,1,like google better,0.6597,Positive,1
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,just had to have it and now lets play and learn how to get the most out of it,0.34,Positive,1
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1,works as advertised very easy to setup still learning what this can do,0.4927,Positive,1
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1,great sound and easy to set up,0.7906,Positive,1
5,30-Jul-18,Oak Finish ,"Love Alexa, bought others for friends",1,love alexa bought others for friends,0.8074,Positive,1
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,love the echo i purchased it for company for my husband he is  and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,0.9382,Positive,1
5,30-Jul-18,Heather Gray Fabric ,😍,1,,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1,love being able to listen to music easily still learning all the features available,0.765,Positive,1
4,30-Jul-18,Heather Gray Fabric ,"Did t really know what I could use this device for. Used it for a few things, but need an overview",1,did t really know what i could use this device for used it for a few things but need an overview,0.0,Neutral,2
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1,love this just wish it had a built in hub,0.7845,Positive,1
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1,i use it primarily to play music  it works wonderfully  still getting used to some of the many things it will do  amazon has sent several tips since i got it thanks for all your help,0.9118,Positive,1
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1,how easy if was to set up,0.4404,Positive,1
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1,fast response which was amazing  clear concise answers and sound quality is fantastic  i am still getting used to alexia and have not usde echo to its full extent,0.875,Positive,1
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1,youre all i needna na nana,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1,does everything as expected and more,0.0,Neutral,2
5,30-Jul-18,Sandstone Fabric ,"I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.",1,i love my echo  works just like they said it would i dont have a smart home so i cannot speak about that function but everything else about it is good,0.763,Positive,1
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1,great sound in a small packageeasy to set up and use fun to own,0.8126,Positive,1
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1,works and sounds great,0.6249,Positive,1
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1,the sound is amazing and many collections of all music,0.5859,Positive,1
4,30-Jul-18,Sandstone Fabric ,Setting up,1,setting up,0.0,Neutral,2
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1,she doesnt always listen,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1,its awesome,0.6249,Positive,1
4,30-Jul-18,Heather Gray Fabric ,"I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.",1,i bought this because it can control fios television it works well im hoping over time it will do more to control fios then i discovered all the other things alexa can do play music you ask for great sound from alexa play games play radio stations play old time radio programs like the long ranger alexa has many apps you can add to her abilities the other day i played madlibs great fun also alexa can control household appliances i just purchased alexa compatible power strips to control lighting fans and tv components im looking forward to implementing this controll you can also add other alexa components to have chosen music to play in all rooms where the components are located,0.9853,Positive,1
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1,the speaker has excellent sound and works perfectly,0.836,Positive,1
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1,i like it all,0.3612,Positive,1
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1,i love it it does everything,0.6369,Positive,1
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1,i was a little nervous when i received my new echo as im not really tech savvy i found it a bit intimidating at first but it didnt take me to long to figure it out im very happy with my purchase and now thinking of adding an echo spot,0.6293,Positive,1
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1,i like it and still learning how to use it,0.3612,Positive,1
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1,great technology cant believe the speaker volume and quality is so wonderful wish i had bought another one,0.9156,Positive,1
5,30-Jul-18,Heather Gray Fabric ,"I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!",1,i purchased an echo dot for my husband for fathers day  he uses it constantly and after hearing the quality of sound of the echo nd generation it was a nobrainer  best gift ever,0.7964,Positive,1
4,30-Jul-18,Charcoal Fabric ,Works fine!!,1,works fine,0.2023,Positive,1
5,30-Jul-18,Heather Gray Fabric , ,1, ,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,Clear music,1,clear music,0.3818,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Fun to use, good sound quality",1,fun to use good sound quality,0.7351,Positive,1
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1,the echo works well i was able to sync it with my other amazon music devices,0.4215,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.",1,works great but i dont think amazon should charge another cent for unlimited music when you  have prime and  buy an echo,0.1957,Positive,1
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1,already had an echo dot the echo is even better with fuller sound also during setup it now lets phone calls to be made to my contact list which is great,0.7906,Positive,1
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1,the speaker sounds really good,0.4927,Positive,1
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1,good sound works well,0.6124,Positive,1
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1,love it and alexa i am not very savvy but support was very helpful and patient,0.893,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.",1,love it i was thinking about getting one and when the prime day discount was offered i could not pass it up its fun to ask alexa to play any song or group and she comes up with a playlist from amazon prime music you can also connect your iphone with bluetooth and play music with pandora or youtube videos using alexa as a speaker ive been having fun asking alexa different types of questions or for information like weather news or even the time in other countries the only downside is if you have limited data on your wifi plan because alexa uses burns it up when playing music,0.9493,Positive,1
5,30-Jul-18,Charcoal Fabric ,"We like it all so far, but have a lot to try out yet.",1,we like it all so far but have a lot to try out yet,0.1901,Positive,1
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1,love it  am using it strictly for music now and its great,0.8519,Positive,1
5,30-Jul-18,Sandstone Fabric ,"Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.",1,love the echo  i love the size material and speaker quality i have it hooked up to one light easily and will work on additional lights and thermostat next is echo dot for bedroom there is a lot more to do with echo that you think traffic weather trivia etc,0.8957,Positive,1
4,30-Jul-18,Charcoal Fabric ,Love it!,1,love it,0.6369,Positive,1
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1,the entire family loves alexa echo shes now a part of this family,0.5719,Positive,1
5,30-Jul-18,Walnut Finish ,"Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more",1,great fun getting to know all the functions of this product  wow  family fun and homework help  talking with other grandchildrenwho also have an echo is a huge bonus  cant wait to learn more and more and more,0.9719,Positive,1
5,30-Jul-18,Heather Gray Fabric ,Love it!,1,love it,0.6369,Positive,1
5,30-Jul-18,Heather Gray Fabric ,"awesome thing, love Alexa",1,awesome thing love alexa,0.8519,Positive,1
